               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055059,            0.014695,                   0,             0.95359,             0.89212,             0.94208,             0.53194,            0.031226,           0.0045518,                   0,            0.070045,           0.0033283,           0.0033283
                   1,            0.035147,            0.008573,                   0,             0.96708,             0.91839,             0.96016,              0.5543,            0.031425,           0.0040265,                   0,            0.038726,           0.0053426,           0.0053426
                   2,            0.031552,           0.0077117,                   0,             0.96457,             0.93227,             0.96964,             0.62214,            0.027283,            0.003935,                   0,           0.0060873,            0.006037,            0.006037
                   3,            0.028005,           0.0072368,                   0,             0.96761,              0.9334,             0.97498,             0.64989,            0.025835,           0.0036978,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.026662,           0.0069986,                   0,             0.96317,             0.95687,             0.98253,             0.63816,            0.026241,            0.003607,                   0,             0.00406,             0.00406,             0.00406
